2026-08-29T23:21:21Z sondeo programado 2026-08-30T05:00:00Z -> 2026-08-30T07:00:00Z | estaciones=['71370', '71410']
2026-08-29T23:21:21Z esperando 5.64 h hasta el inicio
2026-08-30T05:00:00Z saint-lazare ok | salidas=154 anden_real=0 | cuota_restante=999
2026-08-30T05:00:00Z gare-du-nord ok | salidas=161 anden_real=3 | cuota_restante=998
2026-08-30T05:01:00Z saint-lazare ok | salidas=155 anden_real=3 | cuota_restante=997
2026-08-30T05:02:01Z saint-lazare ok | salidas=155 anden_real=3 | cuota_restante=996
2026-08-30T05:02:01Z gare-du-nord ok | salidas=162 anden_real=4 | cuota_restante=995
2026-08-30T05:03:01Z saint-lazare ok | salidas=155 anden_real=3 | cuota_restante=994
2026-08-30T05:04:01Z saint-lazare ok | salidas=156 anden_real=3 | cuota_restante=993
2026-08-30T05:04:02Z gare-du-nord ok | salidas=162 anden_real=4 | cuota_restante=992
2026-08-30T05:05:02Z saint-lazare ok | salidas=155 anden_real=3 | cuota_restante=991
2026-08-30T05:06:02Z saint-lazare ok | salidas=156 anden_real=2 | cuota_restante=990
2026-08-30T05:06:03Z gare-du-nord ok | salidas=163 anden_real=3 | cuota_restante=989
2026-08-30T05:07:04Z saint-lazare ok | salidas=154 anden_real=2 | cuota_restante=988
2026-08-30T05:08:04Z saint-lazare ok | salidas=154 anden_real=2 | cuota_restante=987
2026-08-30T05:08:04Z gare-du-nord ok | salidas=164 anden_real=3 | cuota_restante=986
2026-08-30T05:09:04Z saint-lazare ok | salidas=154 anden_real=1 | cuota_restante=985
2026-08-30T05:10:04Z saint-lazare ok | salidas=155 anden_real=1 | cuota_restante=984
2026-08-30T05:10:05Z gare-du-nord ok | salidas=163 anden_real=3 | cuota_restante=983
2026-08-30T05:11:05Z saint-lazare ok | salidas=155 anden_real=2 | cuota_restante=982
2026-08-30T05:12:05Z saint-lazare ok | salidas=157 anden_real=4 | cuota_restante=981
2026-08-30T05:12:06Z gare-du-nord ok | salidas=165 anden_real=2 | cuota_restante=980
2026-08-30T05:13:07Z saint-lazare ok | salidas=154 anden_real=3 | cuota_restante=979
2026-08-30T05:14:07Z saint-lazare ok | salidas=155 anden_real=3 | cuota_restante=978
2026-08-30T05:14:07Z gare-du-nord ok | salidas=165 anden_real=2 | cuota_restante=977
2026-08-30T05:15:07Z saint-lazare ok | salidas=155 anden_real=3 | cuota_restante=976
2026-08-30T05:16:08Z saint-lazare ok | salidas=156 anden_real=3 | cuota_restante=975
2026-08-30T05:16:08Z gare-du-nord ok | salidas=165 anden_real=3 | cuota_restante=974
2026-08-30T05:17:08Z saint-lazare ok | salidas=158 anden_real=3 | cuota_restante=973
2026-08-30T05:18:08Z saint-lazare ok | salidas=161 anden_real=2 | cuota_restante=972
2026-08-30T05:18:09Z gare-du-nord ok | salidas=166 anden_real=5 | cuota_restante=971
2026-08-30T05:19:09Z saint-lazare ok | salidas=163 anden_real=1 | cuota_restante=970
2026-08-30T05:20:09Z saint-lazare ok | salidas=164 anden_real=1 | cuota_restante=969
2026-08-30T05:20:10Z gare-du-nord ok | salidas=167 anden_real=4 | cuota_restante=968
2026-08-30T05:21:10Z saint-lazare ok | salidas=165 anden_real=0 | cuota_restante=967
2026-08-30T05:22:10Z saint-lazare ok | salidas=165 anden_real=1 | cuota_restante=966
2026-08-30T05:22:10Z gare-du-nord ok | salidas=167 anden_real=5 | cuota_restante=965
2026-08-30T05:23:10Z saint-lazare ok | salidas=164 anden_real=1 | cuota_restante=964
2026-08-30T05:24:11Z saint-lazare ok | salidas=166 anden_real=1 | cuota_restante=963
2026-08-30T05:24:11Z gare-du-nord ok | salidas=169 anden_real=6 | cuota_restante=962
2026-08-30T05:25:11Z saint-lazare ok | salidas=166 anden_real=1 | cuota_restante=961
2026-08-30T05:26:12Z saint-lazare ok | salidas=164 anden_real=2 | cuota_restante=960
2026-08-30T05:26:12Z gare-du-nord ok | salidas=168 anden_real=6 | cuota_restante=959
2026-08-30T05:27:12Z saint-lazare ok | salidas=163 anden_real=2 | cuota_restante=958
2026-08-30T05:28:13Z saint-lazare ok | salidas=166 anden_real=2 | cuota_restante=957
2026-08-30T05:28:14Z gare-du-nord ok | salidas=169 anden_real=5 | cuota_restante=956
2026-08-30T05:29:14Z saint-lazare ok | salidas=164 anden_real=2 | cuota_restante=955
